16
12
digital
09,00,00,00,00,00,00,00,00,00,00,00,00,00,00,07
09,00,00,00,00,00,00,00,00,00,00,00,00,00,00,07
09,00,00,00,00,00,00,00,00,00,00,00,00,00,00,07
09,00,00,00,00,00,00,00,00,00,00,00,00,00,00,07
09,00,00,00,00,00,00,00,00,00,00,11,12,12,13,07
09,00,00,11,12,12,12,12,13,00,00,00,00,00,00,07
09,00,00,00,00,00,00,00,00,00,00,00,00,00,00,07
09,00,12,12,12,12,13,00,00,00,00,00,00,00,00,07
09,00,00,00,00,00,00,00,00,00,00,00,00,00,00,07
09,00,12,09,09,09,11,12,12,12,12,12,13,00,00,07
09,01,04,00,00,00,00,00,00,00,00,00,00,00,00,07
08,04,04,04,04,04,04,04,04,04,04,04,04,04,04,08
